userid,attractionid,attraction,attractiontype,rating
77269,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
4371,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
25561,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
16514,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
52730,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
21256,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
45191,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
81154,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
57365,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
85847,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
59810,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
16482,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
45653,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
70967,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
63138,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
17811,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
10370,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
28567,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
43435,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
25621,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
24948,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
14459,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
57716,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
77961,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
32533,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
8481,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
53690,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
51055,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
62791,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
23746,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
46065,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
58995,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
75223,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
11099,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
39393,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
4453,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
53132,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
34227,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
18600,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
78886,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
18325,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,1
30475,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
51292,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
74902,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,2
30233,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
42707,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
25682,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
38154,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
44234,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
22217,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
12892,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
47829,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
21300,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,2
17884,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
53500,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
76106,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
47053,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
85394,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
87911,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
75196,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
85613,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
9756,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
85188,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
21447,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
70281,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
68787,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
4179,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
58932,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
5021,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
82983,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
19681,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
23890,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
75107,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
20362,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
48488,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
39504,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
34060,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
6355,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
52542,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
58772,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
58750,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
46971,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
17018,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
73591,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
44572,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
73334,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
55962,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,1
21235,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
78327,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
85955,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
48535,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
79458,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
58461,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
85351,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
87932,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
47662,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
6464,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
54547,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
48254,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
31313,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
64200,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
