Model,K,Hit_Rate,Precision,Recall
Content-Based,3,0.09739979887947134,0.03246659962649045,0.09739979887947134
Content-Based,5,0.12584398793276827,0.025168797586553653,0.12584398793276827
Content-Based,10,0.13977876741847436,0.013977876741847436,0.13977876741847436
