Feature,Importance
cat__user_countryid_155.0,0.0
cat__user_countryid_156.0,0.0
cat__user_countryid_157.0,0.0
cat__user_countryid_158.0,0.0
cat__user_countryid_159.0,0.0
cat__user_countryid_160.0,0.0
cat__user_countryid_161.0,0.0
cat__user_countryid_162.0,0.0
cat__user_countryid_163.0,0.0
cat__user_countryid_164.0,0.0
cat__user_cityid_1.0,0.0
cat__user_cityid_3.0,0.0
cat__user_cityid_4.0,0.0
cat__user_cityid_6.0,0.0
cat__user_cityid_11.0,0.0
cat__user_cityid_12.0,0.0
cat__user_cityid_15.0,0.0
cat__user_cityid_16.0,0.0
cat__user_cityid_17.0,0.0
cat__user_cityid_18.0,0.0
cat__user_cityid_20.0,0.0
cat__user_cityid_21.0,0.0
cat__user_cityid_22.0,0.0
cat__user_cityid_24.0,0.0
cat__user_cityid_26.0,0.0
cat__user_cityid_27.0,0.0
cat__user_cityid_29.0,0.0
cat__user_cityid_31.0,0.0
cat__user_cityid_34.0,0.0
cat__user_cityid_37.0,0.0
cat__user_cityid_39.0,0.0
cat__user_cityid_40.0,0.0
cat__user_cityid_44.0,0.0
cat__user_cityid_45.0,0.0
cat__user_cityid_49.0,0.0
cat__user_cityid_50.0,0.0
cat__user_cityid_51.0,0.0
cat__user_cityid_52.0,0.0
cat__user_cityid_53.0,0.0
cat__user_cityid_55.0,0.0
cat__user_cityid_56.0,0.0
cat__user_cityid_57.0,0.0
cat__user_cityid_58.0,0.0
cat__user_cityid_59.0,0.0
cat__user_cityid_60.0,0.0
cat__user_cityid_61.0,0.0
cat__user_cityid_62.0,0.0
cat__user_cityid_65.0,0.0
cat__user_cityid_66.0,0.0
cat__user_cityid_68.0,0.0
cat__user_cityid_69.0,0.0
cat__user_cityid_70.0,0.0
cat__user_cityid_71.0,0.0
cat__user_cityid_74.0,0.0
cat__user_cityid_77.0,0.0
cat__user_cityid_78.0,0.0
cat__user_cityid_79.0,0.0
cat__user_cityid_81.0,0.0
cat__user_cityid_82.0,0.0
cat__user_cityid_84.0,0.0
cat__user_cityid_86.0,0.0
cat__user_cityid_87.0,0.0
cat__user_cityid_90.0,0.0
cat__user_cityid_92.0,0.0
cat__user_cityid_94.0,0.0
cat__user_cityid_97.0,0.0
cat__user_cityid_98.0,0.0
cat__user_cityid_99.0,0.0
cat__user_cityid_100.0,0.0
cat__user_cityid_101.0,0.0
cat__user_cityid_102.0,0.0
