,precision,recall,f1-score,support
Business,0.3300970873786408,0.272,0.2982456140350877,125.0
Couples,0.6067970756767437,0.7102220166512488,0.6544485881726159,4324.0
Family,0.6054307743881998,0.5934932632270785,0.5994025887819449,3043.0
Friends,0.509011469142545,0.42576518958428505,0.46368159203980097,2189.0
Solo,0.4967105263157895,0.33370165745856356,0.39920687376074027,905.0
accuracy,0.5804836576610618,0.5804836576610618,0.5804836576610618,0.5804836576610618
macro avg,0.5096093865803837,0.4670364253842352,0.48299705135803794,10586.0
weighted avg,0.5735053532855358,0.5804836576610618,0.5731513036467816,10586.0
