Model,Accuracy,Precision,Recall,Weighted_F1,Macro_F1
ORIGINAL 908 MB MODEL,0.5804836576610618,0.5735053532855358,0.5804836576610618,0.5731513036467816,0.48299705135803794
DEPLOYMENT 4.51 MB MODEL,0.5863404496504818,0.6315343530165671,0.5863404496504818,0.5915677461256287,0.4708310045455354
