Model,Accuracy,Precision,Recall,F1
Random Forest,0.4707160400529001,0.46089235585741467,0.4707160400529001,0.46230985447179096
Logistic Regression,0.36434914037407895,0.4493673411201758,0.36434914037407895,0.3939340690013502
