Model,Hit_Rate@5,Precision@5
Hybrid,0.5509200907486765,0.1101840181497353
Collaborative,0.5374338290899925,0.12251113345784469
Popularity,0.3918578270733552,0.07837156541467104
Content-Based,0.12584398793276827,0.025168797586553653
